id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,default_ind,income_group,loan_income_ratio,high_dti,high_int_rate,low_income,risk_score,default_probability,confidence_flag,predicted_default,prediction_result
1077501,1296599,5000,5000,4975.0,36,10.65,162.87,B,B2,,10+ years,RENT,24000.0,Verified,01-12-2011,n,credit_card,Computer,860xx,AZ,27.65,0.0,01-01-1985,1.0,,3.0,0.0,13648.0,83.7,9.0,f,0.0,0.0,5861.071414,5831.78,5000.0,861.07,0.0,0.0,0.0,01-01-2015,171.62,,01-01-2016,0.0,1.0,INDIVIDUAL,0.0,,,,0.0,"(3704.0, 63200.0]",0.20833333333333334,0,0,1,1,0.4480378746526473,Low Confidence,1,False Positive
1077430,1314167,2500,2500,2500.0,60,15.27,59.83,C,C4,Ryder,< 1 year,RENT,30000.0,Source Verified,01-12-2011,n,car,bike,309xx,GA,1.0,0.0,01-04-1999,5.0,,3.0,0.0,1687.0,9.4,4.0,f,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,01-04-2013,119.66,,01-09-2013,0.0,1.0,INDIVIDUAL,0.0,,,,1.0,"(3704.0, 63200.0]",0.08333333333333333,0,1,1,2,0.5132976274267003,Low Confidence,1,True Positive
1077175,1313524,2400,2400,2400.0,36,15.96,84.33,C,C5,,10+ years,RENT,12252.0,Not Verified,01-12-2011,n,small_business,real estate business,606xx,IL,8.72,0.0,01-11-2001,2.0,,2.0,0.0,2956.0,98.5,10.0,f,0.0,0.0,3003.653644,3003.65,2400.0,603.65,0.0,0.0,0.0,01-06-2014,649.91,,01-01-2016,0.0,1.0,INDIVIDUAL,0.0,,,,0.0,"(3704.0, 63200.0]",0.1958863858961802,0,1,1,2,0.603952913886226,Low Confidence,1,False Positive
1076863,1277178,10000,10000,10000.0,36,13.49,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200.0,Source Verified,01-12-2011,n,other,personel,917xx,CA,20.0,0.0,01-02-1996,1.0,35.0,10.0,0.0,5598.0,21.0,37.0,f,0.0,0.0,12226.30221,12226.3,10000.0,2209.33,16.97,0.0,0.0,01-01-2015,357.48,,01-01-2015,0.0,1.0,INDIVIDUAL,0.0,,,,0.0,"(3704.0, 63200.0]",0.2032520325203252,0,0,1,1,0.48393617684751,Low Confidence,1,False Positive
1075358,1311748,3000,3000,3000.0,60,12.69,67.79,B,B5,University Medical Group,1 year,RENT,80000.0,Source Verified,01-12-2011,n,other,Personal,972xx,OR,17.94,0.0,01-01-1996,0.0,38.0,15.0,0.0,27783.0,53.9,38.0,f,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0.0,0.0,0.0,01-01-2016,67.79,01-02-2016,01-01-2016,0.0,1.0,INDIVIDUAL,0.0,,,,0.0,"(63200.0, 122400.0]",0.0375,0,0,0,0,0.3828580626513879,Low Confidence,0,True Negative
1075269,1311441,5000,5000,5000.0,36,7.9,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000.0,Source Verified,01-12-2011,n,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0.0,01-11-2004,3.0,,9.0,0.0,7963.0,28.3,12.0,f,0.0,0.0,5631.377753,5631.38,5000.0,631.38,0.0,0.0,0.0,01-01-2015,161.03,,01-09-2015,0.0,1.0,INDIVIDUAL,0.0,,,,0.0,"(3704.0, 63200.0]",0.1388888888888889,0,0,1,1,0.3248774592655833,Low Confidence,0,True Negative
1069639,1304742,7000,7000,7000.0,60,15.96,170.08,C,C5,Southern Star Photography,8 years,RENT,47004.0,Not Verified,01-12-2011,n,debt_consolidation,Loan,280xx,NC,23.51,0.0,01-07-2005,1.0,,7.0,0.0,17726.0,85.6,11.0,f,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0.0,0.0,0.0,01-01-2016,170.08,01-02-2016,01-01-2016,0.0,1.0,INDIVIDUAL,0.0,,,,0.0,"(3704.0, 63200.0]",0.14892349587269169,0,1,1,2,0.5566284351396351,Low Confidence,1,False Positive
1072053,1288686,3000,3000,3000.0,36,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000.0,Source Verified,01-12-2011,n,car,Car Downpayment,900xx,CA,5.35,0.0,01-01-2007,2.0,,4.0,0.0,8221.0,87.5,4.0,f,0.0,0.0,3938.144334,3938.14,3000.0,938.14,0.0,0.0,0.0,01-01-2015,111.34,,01-12-2014,0.0,1.0,INDIVIDUAL,0.0,,,,0.0,"(3704.0, 63200.0]",0.0625,0,1,1,2,0.5892499202926271,Low Confidence,1,False Positive
1071795,1306957,5600,5600,5600.0,60,21.28,152.39,F,F2,,4 years,OWN,40000.0,Source Verified,01-12-2011,n,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0.0,01-04-2004,2.0,,11.0,0.0,5210.0,32.6,13.0,f,0.0,0.0,646.02,646.02,162.02,294.94,0.0,189.06,2.09,01-04-2012,152.39,,01-08-2012,0.0,1.0,INDIVIDUAL,0.0,,,,1.0,"(3704.0, 63200.0]",0.14,0,1,1,2,0.6855655419563511,Low Confidence,1,True Positive
1071570,1306721,5375,5375,5350.0,60,12.69,121.45,B,B5,Starbucks,< 1 year,RENT,15000.0,Verified,01-12-2011,n,other,Building my credit history.,774xx,TX,18.08,0.0,01-09-2004,0.0,,2.0,0.0,9279.0,36.5,3.0,f,0.0,0.0,1476.19,1469.34,673.48,533.42,0.0,269.29,2.52,01-11-2012,121.45,,01-03-2013,0.0,1.0,INDIVIDUAL,0.0,,,,1.0,"(3704.0, 63200.0]",0.35833333333333334,0,0,1,1,0.5776186819947224,Low Confidence,1,True Positive
